PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, BYAH
Station name, BYAH_KIVU_RW2022
Begin Date, 2022-08-04
End Date, 2023-09-04
Release Date, 2023-09-23
Source file, BYAH.cwu.igs14.pos
Offset from source file, -241.89 mm North, 28.75 mm East, 0.15 mm Vertical
Reference position, -1.6627052349 North Latitude, 29.2646134412 East Longitude, 1596.26345 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2022-12-19,8.44, 10.79, -3.56, 3.6, 3.58, 8.4, suppf,
2022-12-20,19.26, 11.21, -5.91, 3.55, 3.55, 8.76, suppf,
2022-12-21,11.84, 7.18, 4.51, 3.64, 3.61, 8.66, suppf,
2022-12-22,12.07, 3.95, 5.26, 3.63, 3.61, 8.77, suppf,
2022-12-23,12.80, 9.83, -2.39, 3.75, 3.74, 8.63, suppf,
2022-12-24,9.24, 2.62, -3.64, 3.86, 3.84, 8.57, suppf,
2022-12-25,13.94, 10.42, -3.65, 3.75, 3.74, 8.63, suppf,
2022-12-26,10.10, 15.91, -3.78, 3.61, 3.59, 8.82, suppf,
2022-12-27,3.87, 12.52, -4.26, 3.78, 3.78, 9.05, suppf,
2022-12-28,12.46, 16.22, -2.24, 3.57, 3.59, 8.99, suppf,
2022-12-29,19.51, 16.61, 10.54, 3.45, 3.45, 8.6, suppf,
2022-12-30,18.27, 15.56, -1.25, 3.51, 3.47, 8.61, suppf,
2022-12-31,5.53, 13.31, -0.08, 3.51, 3.52, 8.74, suppf,
2023-01-01,7.00, 5.91, -9.04, 3.55, 3.52, 8.67, suppf,
2023-01-02,7.32, 9.69, -7.80, 3.41, 3.41, 8.69, suppf,
2023-01-03,4.32, 2.75, 7.98, 3.48, 3.51, 8.99, suppf,
2023-01-04,8.73, 8.78, -2.07, 3.55, 3.51, 8.44, suppf,
2023-01-05,5.63, 7.33, 9.47, 3.46, 3.46, 8.42, suppf,
2023-01-06,10.35, 2.42, 4.51, 3.48, 3.47, 8.52, suppf,
2023-01-07,12.60, 11.46, 8.22, 3.44, 3.42, 8.66, suppf,
2023-01-08,8.20, 9.29, 13.94, 3.44, 3.45, 8.89, suppf,
2023-01-09,12.62, 14.36, 1.65, 3.4, 3.39, 8.66, suppf,
2023-01-10,14.29, 15.46, 4.75, 3.43, 3.45, 8.71, suppf,
2023-01-11,16.13, 16.39, -1.91, 3.47, 3.46, 8.81, suppf,
2023-01-12,22.57, 14.99, 6.64, 3.54, 3.53, 8.47, suppf,
2023-01-13,19.04, 15.36, 16.55, 3.64, 3.65, 8.93, suppf,
2023-01-14,19.55, 13.33, 2.29, 3.43, 3.42, 8.67, suppf,
2023-01-15,13.51, 22.60, 2.14, 3.45, 3.42, 8.33, suppf,
2023-01-16,14.79, 14.62, -4.32, 3.52, 3.49, 8.49, suppf,
2023-01-17,12.00, 18.55, -1.96, 3.45, 3.46, 8.62, suppf,
2023-01-18,8.29, 11.40, 2.35, 3.51, 3.52, 8.79, suppf,
2023-01-19,9.21, 19.12, 3.15, 3.56, 3.56, 8.59, suppf,
2023-01-20,13.19, 11.61, 14.05, 3.47, 3.46, 8.54, suppf,
2023-01-21,9.88, 13.32, -3.62, 3.58, 3.57, 8.67, suppf,
2023-01-22,11.11, 17.32, 1.31, 3.52, 3.48, 8.96, suppf,
2023-01-23,13.41, 16.77, 6.87, 3.59, 3.52, 8.8, suppf,
2023-01-24,12.41, 16.81, 8.53, 3.53, 3.53, 9.06, suppf,
2023-01-25,14.45, 14.60, 12.27, 3.92, 3.91, 8.96, suppf,
2023-01-26,9.91, 23.31, -8.58, 3.71, 3.73, 9.25, suppf,
2023-01-27,12.33, 15.64, -9.08, 3.61, 3.61, 9.09, suppf,
2023-01-28,9.27, 19.83, -4.93, 3.57, 3.55, 8.7, suppf,
2023-01-29,9.21, 21.47, 3.14, 3.6, 3.56, 9.16, suppf,
2023-01-30,9.72, 16.87, -0.85, 3.56, 3.55, 9.29, suppf,
2023-01-31,9.13, 16.52, 9.83, 3.68, 3.61, 8.76, suppf,
2023-02-01,13.48, 21.29, -2.26, 3.64, 3.62, 9.1, suppf,
2023-02-02,6.54, 19.16, -5.31, 3.77, 3.72, 9.12, suppf,
2023-02-03,13.01, 18.32, 1.16, 3.67, 3.65, 9.36, suppf,
2023-02-04,11.83, 15.02, 6.88, 3.59, 3.55, 8.69, suppf,
2023-02-05,16.49, 23.93, -4.25, 3.59, 3.57, 8.7, suppf,
2023-02-06,14.33, 20.60, 10.16, 3.67, 3.64, 8.72, suppf,
2023-02-07,15.63, 21.33, -2.37, 3.59, 3.53, 8.45, suppf,
2023-02-08,8.72, 18.49, 14.06, 3.55, 3.49, 8.55, suppf,
2023-02-09,10.85, 17.42, -2.30, 3.36, 3.3, 8.53, suppf,
2023-02-10,8.14, 16.71, -4.21, 3.64, 3.59, 8.75, suppf,
2023-02-11,12.28, 25.35, -10.77, 3.52, 3.46, 8.63, suppf,
2023-02-12,16.22, 20.40, 0.28, 3.48, 3.47, 9.27, suppf,
2023-02-13,15.31, 27.56, -12.57, 3.61, 3.58, 8.64, suppf,
2023-02-14,6.92, 21.73, 3.47, 3.55, 3.54, 8.69, suppf,
2023-02-15,7.63, 9.98, 7.56, 3.68, 3.61, 8.59, suppf,
2023-02-16,14.19, 15.84, -4.05, 3.54, 3.52, 8.82, suppf,
2023-02-17,18.46, 22.96, 6.82, 3.58, 3.56, 9.28, suppf,
2023-02-18,12.59, 22.22, 14.51, 3.36, 3.33, 8.73, suppf,
2023-02-19,6.48, 14.00, 1.15, 3.47, 3.43, 8.44, suppf,
2023-02-20,11.68, 27.29, -1.93, 3.5, 3.47, 9.11, suppf,
2023-02-21,11.55, 16.73, -1.13, 3.47, 3.45, 8.63, suppf,
2023-02-22,15.17, 22.90, 8.49, 3.29, 3.3, 8.3, suppf,
2023-02-23,5.39, 15.69, 0.42, 3.58, 3.59, 8.46, suppf,
2023-02-24,11.90, 21.69, 3.95, 3.34, 3.32, 8.79, suppf,
2023-02-25,12.77, 28.72, -3.68, 3.58, 3.56, 8.49, suppf,
2023-02-26,14.50, 21.73, 10.21, 3.62, 3.65, 8.71, suppf,
2023-02-27,18.72, 19.87, 4.79, 3.63, 3.56, 8.68, suppf,
2023-02-28,17.03, 22.88, 8.10, 3.32, 3.3, 8.66, suppf,
2023-03-01,15.48, 18.49, -4.73, 3.24, 3.22, 8.59, suppf,
2023-03-02,18.53, 14.32, 2.15, 3.48, 3.45, 8.55, suppf,
2023-03-03,15.46, 16.38, 4.88, 3.51, 3.45, 8.41, suppf,
2023-03-04,15.23, 15.70, 4.18, 3.42, 3.42, 8.57, suppf,
2023-03-05,9.01, 15.26, 14.30, 3.61, 3.61, 8.81, suppf,
2023-03-06,19.58, 14.81, 9.99, 3.56, 3.55, 8.86, suppf,
