PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, KANZ
Station name, kanz_KIVU_RW2022
Begin Date, 2022-08-03
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, KANZ.cwu.igs14.pos
Offset from source file, -243.29 mm North, 22.75 mm East, 8.01 mm Vertical
Reference position, -1.6463465815 North Latitude, 29.3781144963 East Longitude, 2299.33814 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2023-01-17,8.55, 10.35, 2.53, 3.31, 3.37, 7.27, suppf,
2023-01-18,10.71, 7.78, 5.94, 3.36, 3.4, 7.35, suppf,
2023-01-19,10.30, 14.96, -5.53, 3.44, 3.48, 7.44, suppf,
2023-01-20,9.11, 7.07, 14.15, 3.34, 3.4, 7.56, suppf,
2023-01-21,4.49, 3.96, 6.11, 3.45, 3.48, 7.47, suppf,
2023-01-22,11.51, 12.14, 4.66, 3.36, 3.4, 7.7, suppf,
2023-01-23,12.52, 12.54, 6.60, 3.42, 3.46, 7.64, suppf,
2023-01-24,11.30, 12.01, 1.70, 3.37, 3.41, 7.53, suppf,
2023-01-25,14.48, 10.82, 4.47, 3.77, 3.82, 7.69, suppf,
2023-01-26,6.40, 13.13, 2.57, 3.57, 3.6, 7.88, suppf,
2023-01-27,5.75, 10.16, -5.00, 3.45, 3.49, 7.52, suppf,
2023-01-28,6.44, 12.03, -0.85, 3.42, 3.48, 7.58, suppf,
2023-01-29,9.28, 12.78, -9.22, 3.4, 3.43, 7.66, suppf,
2023-01-30,8.07, 14.48, 2.79, 3.39, 3.42, 7.68, suppf,
2023-01-31,7.57, 12.10, 6.21, 3.52, 3.54, 7.64, suppf,
2023-02-01,8.09, 16.08, -0.91, 3.48, 3.5, 7.61, suppf,
2023-02-02,3.84, 11.85, -0.57, 3.61, 3.63, 7.81, suppf,
2023-02-03,14.07, 12.43, 7.32, 3.49, 3.54, 7.74, suppf,
2023-02-04,11.10, 10.47, 3.99, 3.45, 3.48, 7.56, suppf,
2023-02-05,12.23, 17.96, 4.39, 3.46, 3.5, 7.61, suppf,
2023-02-06,12.93, 15.65, 6.80, 3.54, 3.56, 7.46, suppf,
2023-02-07,9.83, 13.99, 8.68, 3.45, 3.47, 7.36, suppf,
2023-02-08,9.03, 10.99, 4.74, 3.4, 3.43, 7.44, suppf,
2023-02-09,8.31, 12.86, -0.74, 3.2, 3.23, 7.44, suppf,
2023-02-10,6.24, 12.23, -3.84, 3.49, 3.52, 7.52, suppf,
2023-02-11,10.70, 20.13, -5.67, 3.38, 3.4, 7.49, suppf,
2023-02-12,14.14, 12.10, -0.37, 3.32, 3.36, 7.85, suppf,
2023-02-13,11.16, 20.85, -2.65, 3.45, 3.5, 7.54, suppf,
2023-02-14,5.10, 13.89, 3.64, 3.41, 3.47, 7.66, suppf,
2023-02-15,8.24, 6.55, 2.43, 3.55, 3.55, 7.58, suppf,
2023-02-16,13.80, 9.08, 5.54, 3.39, 3.43, 7.54, suppf,
2023-02-17,16.18, 14.57, 12.24, 3.43, 3.47, 7.99, suppf,
2023-02-18,15.04, 14.15, 12.29, 3.2, 3.24, 7.42, suppf,
2023-02-19,5.12, 7.55, 11.71, 3.34, 3.37, 7.47, suppf,
2023-02-20,11.64, 19.63, 10.63, 3.35, 3.38, 7.78, suppf,
2023-02-21,11.07, 9.87, 3.93, 3.34, 3.37, 7.49, suppf,
2023-02-22,10.03, 16.20, 1.81, 3.18, 3.22, 7.4, suppf,
2023-02-23,3.83, 9.64, 0.32, 3.48, 3.51, 7.44, suppf,
2023-02-24,9.63, 19.78, 7.30, 3.2, 3.24, 7.54, suppf,
2023-02-25,13.69, 21.44, -2.35, 3.46, 3.48, 7.4, suppf,
2023-02-26,13.39, 13.85, 14.15, 3.52, 3.54, 7.34, suppf,
2023-02-27,15.36, 13.69, 5.87, 3.48, 3.5, 7.51, suppf,
2023-02-28,18.03, 15.66, 9.43, 3.18, 3.21, 7.49, suppf,
2023-03-01,13.57, 13.73, 8.47, 3.1, 3.14, 7.33, suppf,
2023-03-02,16.24, 6.30, 16.23, 3.35, 3.37, 7.49, suppf,
2023-03-03,13.90, 9.27, 7.94, 3.37, 3.38, 7.32, suppf,
2023-03-04,9.48, 10.23, 15.10, 3.3, 3.32, 7.46, suppf,
2023-03-05,8.16, 6.52, 9.40, 3.51, 3.51, 7.64, suppf,
2023-03-06,17.03, 9.94, 16.78, 3.43, 3.44, 7.76, suppf,
2023-03-07,19.22, 17.11, 11.06, 3.36, 3.38, 7.61, suppf,
2023-03-08,15.24, 13.52, 16.66, 3.56, 3.58, 7.83, suppf,
2023-03-09,14.54, 0.37, 30.02, 3.57, 3.59, 7.82, suppf,
2023-03-10,16.42, 13.77, 16.32, 3.37, 3.4, 7.77, suppf,
2023-03-11,15.39, 11.54, 12.08, 3.16, 3.23, 7.85, suppf,
2023-03-12,20.16, 11.96, 8.40, 3.22, 3.24, 7.38, suppf,
2023-03-13,22.17, 16.10, 17.86, 3.34, 3.38, 8.04, suppf,
2023-03-14,21.20, 13.99, 9.99, 3.46, 3.47, 7.41, suppf,
2023-03-15,13.74, 14.96, 12.07, 3.31, 3.33, 7.27, suppf,
2023-03-16,10.23, 8.29, 5.75, 3.08, 3.14, 7.7, suppf,
2023-03-17,14.88, -0.38, 16.76, 3.06, 3.11, 7.5, suppf,
2023-03-18,18.14, 6.31, 9.04, 3.12, 3.17, 7.86, suppf,
2023-03-19,16.55, 11.67, 6.22, 3.26, 3.31, 7.57, suppf,
2023-03-20,12.39, 8.28, 9.45, 3.13, 3.16, 7.23, suppf,
2023-03-21,12.05, 10.37, 12.27, 3.19, 3.23, 7.56, suppf,
2023-03-22,10.30, 14.64, 5.20, 3.19, 3.24, 8.26, suppf,
2023-03-23,10.40, 12.50, 7.16, 3.26, 3.3, 7.47, suppf,
2023-03-24,9.62, 11.33, 0.83, 3.37, 3.42, 7.31, suppf,
2023-03-25,9.49, 7.50, 3.14, 3.34, 3.4, 7.52, suppf,
2023-03-26,11.08, 8.12, 0.46, 3.15, 3.19, 7.8, suppf,
2023-03-27,9.65, 7.24, 11.97, 3.22, 3.26, 7.83, suppf,
2023-03-28,12.27, 7.35, 11.88, 3.03, 3.09, 7.36, suppf,
2023-03-29,18.86, 12.29, 19.39, 3.45, 3.44, 7.95, suppf,
2023-03-30,7.84, 0.14, -3.91, 3.29, 3.28, 7.5, suppf,
2023-03-31,12.58, 10.55, 5.18, 3.4, 3.41, 7.26, suppf,
2023-04-01,16.32, 13.15, 8.14, 3.38, 3.41, 7.39, suppf,
2023-04-02,9.05, 6.66, 15.67, 3.35, 3.39, 7.89, suppf,
2023-04-03,8.34, 10.16, 9.70, 3.19, 3.24, 7.58, suppf,
2023-04-04,11.03, 4.41, 5.63, 3.25, 3.34, 8.39, suppf,
2023-04-05,15.23, 5.40, 19.81, 3.17, 3.22, 8.05, suppf,
2023-04-06,12.67, 10.29, 17.17, 3.41, 3.4, 8.14, suppf,
2023-04-07,12.81, 15.20, 9.71, 3.38, 3.41, 8.3, suppf,
2023-04-08,11.39, 7.34, 3.20, 3.04, 3.08, 7.89, suppf,
2023-04-09,11.39, 9.66, 3.44, 3.05, 3.11, 7.97, suppf,
2023-04-10,6.30, 7.25, 9.23, 3.25, 3.29, 8.26, suppf,
2023-04-11,7.54, 13.66, -8.25, 3.2, 3.26, 8.34, suppf,
2023-04-12,15.48, 13.46, 8.32, 3.29, 3.37, 8.16, suppf,
2023-04-13,12.78, 8.50, 10.47, 3.24, 3.28, 8.41, suppf,
2023-04-14,14.30, 9.83, 8.22, 3.28, 3.32, 8.1, suppf,
2023-04-15,12.36, 10.08, 1.84, 3.14, 3.17, 8.42, suppf,
2023-04-16,11.39, 10.28, 9.93, 3.17, 3.2, 7.85, suppf,
2023-04-17,13.24, 8.93, 6.68, 3.22, 3.3, 7.85, suppf,
2023-04-18,12.71, 15.65, 0.71, 3.17, 3.2, 7.76, suppf,
2023-04-19,8.03, 11.05, 10.28, 3.17, 3.21, 7.42, suppf,
2023-04-20,3.10, 0.94, 17.23, 3.29, 3.32, 8.26, suppf,
2023-04-21,10.93, 4.84, 20.51, 3.18, 3.21, 7.53, suppf,
2023-04-22,10.09, 9.02, 1.26, 3.13, 3.19, 8.04, suppf,
2023-04-23,14.42, 7.13, 3.57, 3.02, 3.06, 7.41, suppf,
2023-04-24,12.00, 12.59, 3.93, 2.99, 3, 7.21, suppf,
2023-04-25,11.20, 7.82, 1.03, 2.98, 3.01, 7.59, suppf,
2023-04-26,12.88, 14.09, 12.24, 2.99, 3.02, 7.8, suppf,
2023-04-27,14.51, 13.51, 5.15, 3.08, 3.12, 7.41, suppf,
2023-04-28,17.26, 4.50, 10.15, 2.99, 3.04, 7.78, suppf,
2023-04-29,10.98, 8.46, 4.36, 3.01, 3.06, 7.45, suppf,
2023-04-30,17.87, 11.33, -5.58, 3.12, 3.13, 8.06, suppf,
2023-05-01,12.85, 13.72, 0.75, 3.04, 3.08, 7.88, suppf,
2023-05-02,9.68, 9.07, 2.07, 3.22, 3.24, 8.17, suppf,
2023-05-03,9.58, 16.07, -7.70, 2.99, 3.07, 7.85, suppf,
2023-05-04,10.45, 13.36, 11.03, 3.01, 3.03, 8.2, suppf,
2023-05-05,9.18, 12.48, -4.46, 2.99, 3.05, 8, suppf,
2023-05-06,11.99, 15.68, 0.00, 2.91, 2.96, 7.36, suppf,
2023-05-07,13.68, 10.55, 1.09, 2.96, 3.01, 7.35, suppf,
2023-05-08,8.99, 6.25, -4.13, 3, 3.03, 7.42, suppf,
2023-05-09,5.90, 8.28, 7.17, 3.26, 3.31, 8.2, suppf,
2023-05-10,6.99, 9.13, 8.92, 3.08, 3.11, 7.84, suppf,
2023-05-11,9.74, 13.29, 5.73, 2.95, 3.02, 7.54, suppf,
2023-05-12,5.97, 5.91, 3.48, 3.03, 3.05, 7.31, suppf,
2023-05-13,7.94, 6.81, 7.48, 3.16, 3.2, 7.94, suppf,
2023-05-14,10.48, 13.08, 1.95, 3.14, 3.16, 7.78, suppf,
2023-05-15,8.70, 12.71, -0.38, 3.15, 3.2, 8.05, suppf,
2023-05-16,13.92, 14.05, 22.84, 3.23, 3.24, 8.13, suppf,
2023-05-17,11.42, 13.95, 4.29, 3.07, 3.1, 7.99, suppf,
2023-05-18,13.40, 15.92, 14.83, 3.08, 3.16, 7.96, suppf,
2023-05-19,9.19, 4.26, 11.53, 3.08, 3.12, 8, suppf,
2023-05-20,10.32, 6.33, 1.41, 3.13, 3.13, 7.4, suppf,
2023-05-21,10.77, 7.20, 5.66, 3.08, 3.09, 7.32, suppf,
2023-05-22,9.73, 14.71, 6.04, 2.99, 2.99, 7.3, suppf,
2023-05-23,13.68, 11.37, 15.12, 2.88, 2.94, 7.85, suppf,
2023-05-24,9.21, 13.39, 3.61, 3.12, 3.18, 8.14, suppf,
2023-05-25,9.56, 7.59, 11.73, 3.13, 3.18, 7.47, suppf,
2023-05-26,12.59, 18.28, 13.77, 3.04, 3.08, 7.34, suppf,
2023-05-27,13.97, 20.68, 19.67, 3.03, 3.11, 7.49, suppf,
2023-05-28,12.43, 18.36, 2.56, 3.06, 3.09, 7.33, suppf,
2023-05-29,15.89, 16.70, 5.29, 3.1, 3.19, 7.89, suppf,
2023-05-30,11.39, 15.65, 9.97, 3.12, 3.22, 7.82, suppf,
2023-05-31,11.85, 15.04, 9.87, 3.15, 3.19, 7.23, suppf,
2023-06-01,16.97, 25.13, 4.49, 3.01, 3.04, 7.22, suppf,
2023-06-02,14.64, 24.69, 10.57, 3.12, 3.2, 8.17, suppf,
2023-06-03,14.09, 24.66, 5.67, 3.09, 3.12, 7.49, suppf,
2023-06-04,16.87, 22.02, 15.37, 3.04, 3.07, 7.29, suppf,
2023-06-05,15.03, 15.24, 4.89, 3.03, 3.06, 7.69, suppf,
2023-06-06,16.21, 20.16, 12.78, 3.16, 3.21, 7.68, suppf,
