PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, IGS14
4-character ID, IWAW
Station name, IWAW_KIVU_RW2022
Begin Date, 2022-08-05
End Date, 2023-09-26
Release Date, 2023-09-27
Source file, IWAW.cwu.igs14.pos
Offset from source file, -242.43 mm North, 23.82 mm East, 5.38 mm Vertical
Reference position, -1.9346042759 North Latitude, 29.1472485385 East Longitude, 1517.43602 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2023-05-19,11.12, -1.25, 8.51, 3.16, 3.23, 9.09, suppf,
2023-05-20,12.60, -1.21, 18.42, 3.23, 3.25, 8.68, suppf,
2023-05-21,14.45, 2.32, -4.37, 3.17, 3.22, 8.68, suppf,
2023-05-22,15.55, 8.37, 1.68, 3.08, 3.15, 8.72, suppf,
2023-05-23,16.28, 8.35, 11.46, 3.02, 3.07, 9.17, suppf,
2023-05-24,11.85, 6.61, 7.57, 3.25, 3.3, 9.65, suppf,
2023-05-25,12.23, 3.90, 10.48, 3.23, 3.33, 8.89, suppf,
2023-05-26,14.70, 15.74, 12.60, 3.13, 3.2, 8.59, suppf,
2023-05-27,16.62, 15.99, 3.89, 3.15, 3.29, 9.08, suppf,
2023-05-28,15.42, 12.66, 15.61, 3.16, 3.22, 8.8, suppf,
2023-05-29,15.54, 14.27, 11.97, 3.25, 3.34, 9.75, suppf,
2023-05-30,14.12, 14.96, 6.31, 3.22, 3.38, 9.3, suppf,
2023-05-31,13.66, 10.27, 14.76, 3.24, 3.33, 8.66, suppf,
2023-06-01,17.99, 17.79, 5.78, 3.09, 3.17, 8.47, suppf,
2023-06-02,15.49, 21.14, -6.64, 3.24, 3.38, 9.43, suppf,
2023-06-03,13.83, 19.40, 6.03, 3.18, 3.26, 8.89, suppf,
2023-06-04,18.07, 16.91, 13.23, 3.14, 3.19, 8.65, suppf,
2023-06-05,17.92, 9.50, 10.63, 3.12, 3.19, 8.83, suppf,
2023-06-06,16.57, 14.25, 8.18, 3.28, 3.34, 9.07, suppf,
2023-06-07,16.00, 9.63, 11.37, 3.2, 3.3, 8.45, suppf,
