> -L"kivu_presumed_faults_right"
28.6663507421	-2.53535120874
> -L"100ft"
28.7299869302	-2.69145334113
28.7357514872	-2.6861467549
28.7462633264	-2.67496897661
28.7516322766	-2.66819451591
28.7571142572	-2.66192810653
28.7625962379	-2.65701657419
28.7677956423	-2.65357284447
> -L"1000ft"
28.7852023438	-2.6445400652
28.7987094921	-2.63381355442
28.8084866329	-2.62619203007
28.817698621	-2.6200947771
28.8240283306	-2.61614283802
> -L"100ft"
28.8651149281	-2.69252594618
28.8596894627	-2.68360635971
28.8560724857	-2.67558996697
28.8544900583	-2.66746061376
28.853133692	-2.65628266539
28.8523424783	-2.6472499059
28.8503079287	-2.63720088361
28.8481603487	-2.62805507365
28.8434130664	-2.61687677051
28.8394569979	-2.60524671295
28.83776154	-2.60084307086
28.8359530515	-2.59519735339
28.8340315325	-2.58695456062
28.8325621356	-2.57950212651
28.8312057693	-2.5661779689
28.8299624334	-2.55816082405
28.8286060671	-2.54957903599
28.8253281817	-2.54212638414
28.81854635	-2.52710803084
28.8143642204	-2.51660637224
28.8125557319	-2.51000044686
28.8105211824	-2.50282987468
28.8076389039	-2.49357018014
> -L"30ft"
28.8371398721	-2.69337273897
28.8431304901	-2.69111462355
28.8476517113	-2.68896941003
28.8527946004	-2.6855257699
28.8570332452	-2.68208212007
28.8607067374	-2.67841264646
28.8647193212	-2.67355763371
28.8671494776	-2.67000104242
28.8689579661	-2.66683961929
> -L"800ft"
28.9932350331	-2.69715507293
28.9939132163	-2.68281601347
28.9951565521	-2.66949295711
28.9965129185	-2.6561697563
28.998321407	-2.6386687234
29.0005820176	-2.62478063156
29.0037468724	-2.61055364577
29.0071377883	-2.59756855781
29.0110938568	-2.58526082944
29.0131284063	-2.57905046243
29.0153325016	-2.57092048163
29.0198537228	-2.5583866598
29.026296463	-2.5449493634
29.0311567758	-2.53670624666
> -L"?"
28.997473678	-2.48735937289
29.0062900593	-2.46635533573
29.0148803795	-2.45212660582
29.0216622113	-2.44173727883
29.0279919209	-2.42389455173
29.0334173863	-2.40921365045
29.0381646686	-2.40017917094
29.0463028667	-2.39114463171
29.0507110573	-2.38380402477
29.055119248	-2.36923562748
29.0561365228	-2.35986208147
29.0577189502	-2.34789095495
29.059188347	-2.33693615495
29.0631444156	-2.32677183107
29.0695871557	-2.31717212458
29.0754647433	-2.30779823072
29.0802120255	-2.29605254157
> -L"200ft"
29.0178191733	-2.41768342057
29.0212100892	-2.40266365877
29.0232446387	-2.39238688439
29.0258443409	-2.38211003299
29.028217982	-2.37273657419
29.0283310125	-2.36313718306
29.028217982	-2.35873273431
29.030139501	-2.35523175228
29.0343216306	-2.34969792403
29.0389558823	-2.34427700978
29.0426858898	-2.33727496448
29.0452855919	-2.32925645036
29.0468680193	-2.32078613938
29.0481113552	-2.31084757648
29.0482243857	-2.29932779155
29.0479983246	-2.28532322191
29.0491286299	-2.28080558961
29.0530846985	-2.2777561798
29.0623532019	-2.2716573408
29.0675526062	-2.26612318683
29.0721868579	-2.2592337003
29.0742214075	-2.25449010041
29.0786295981	-2.24748761517
29.086089613	-2.23969448727
29.0923062922	-2.23144953872
29.0959232691	-2.22343043482
29.0964884217	-2.21484655701
29.0961493302	-2.20727914978
29.0934365975	-2.20298717035
29.0909499258	-2.19880812586
29.0887458305	-2.19457259585
29.088011132	-2.18965936601
29.0878981015	-2.18401195549
29.088858861	-2.17988933241
29.089932651	-2.17650086662
> -L"200ft"
28.9450840276	-2.45116672573
28.9432755392	-2.4404386073
28.9420322033	-2.42530616848
28.9421452339	-2.3983158021
28.9420322033	-2.37516464493
28.9429929628	-2.36776748591
28.9446884208	-2.36466179668
28.947514184	-2.36138669869
28.9495487335	-2.35805512557
28.9515267678	-2.35404593379
28.9530526799	-2.34924618198
28.9555393516	-2.34128420438
28.9599475422	-2.33495976439
28.9629993665	-2.32818354711
28.9627733055	-2.32219786141
28.9615299697	-2.31587333575
28.9617560307	-2.3077417613
28.962886336	-2.29870662402
28.9640166413	-2.28921966834
28.9679727098	-2.28244323296
28.9726069615	-2.2772479442
28.9739633279	-2.27261734495
28.9754327248	-2.26527612058
28.9759978774	-2.25194887981
28.9780324269	-2.24528521367
28.984023045	-2.2346684625
28.9849272892	-2.22529403328
28.9836839534	-2.21817846287
28.9831188008	-2.20620615609
28.9847012282	-2.19649270428
28.9902397241	-2.18836046348
28.9988300443	-2.18192240822
29.0057249066	-2.17604907061
29.0083246088	-2.16802966886
29.0110373415	-2.15594401136
29.0155585627	-2.14442301486
29.0191755396	-2.13583868653
29.020531906	-2.13312783603
> -L"200ft"
28.8963678695	-2.12392220392
28.9015672738	-2.1175968298
28.9086881972	-2.11262687488
28.9186348837	-2.10562372959
28.9311812725	-2.09782986961
28.9414670507	-2.08822868439
28.9487010046	-2.08179020965
28.9554828363	-2.07320553577
28.962038607	-2.06834839702
28.9704028662	-2.06473377248
28.977184698	-2.06236167066
> -L"200ft"
29.2803325778	-2.14470539326
29.2777328756	-2.13453973792
29.2758113566	-2.12708488127
29.2747940819	-2.11906522252
29.2743419597	-2.1103677992
29.2734377155	-2.10325168937
29.2712901354	-2.09602259218
29.2686904333	-2.08574366217
29.2672210364	-2.07614240314
29.2673340669	-2.05795632933
29.2673905822	-2.0556971752
> -L"200ft"
29.0323153387	-1.87382508453
29.0326544303	-1.86749874823
29.0341238272	-1.86264101025
29.0345759493	-1.85676651853
29.0357062546	-1.8534903512
29.0398883842	-1.84964931971
29.0476874907	-1.84490450463
29.0549214446	-1.84049859358
29.0619293374	-1.83609267164
29.0627205511	-1.83541483653
> -L"200ft"
29.1475359926	-1.9664516847
29.1499096337	-1.96374054734
29.1538657023	-1.96114236992
29.1588390456	-1.95809233041
29.1668642131	-1.95334781346
29.1746633197	-1.95007182966
29.1797496935	-1.94577915157
29.1820103041	-1.94114756559
29.1825754567	-1.93583817094
29.1811060598	-1.93256215317
29.181558182	-1.92838239719
29.1816712125	-1.92036175562
29.1802018156	-1.91606900241
29.1804278767	-1.9025128691
29.1776021134	-1.89336241884
29.1762457471	-1.88590646068
29.1754545334	-1.87912828917
29.1737590754	-1.86862207137
29.1727418007	-1.85676013704
29.172176648	-1.85404882657
29.171950587	-1.83811979388
29.1717245259	-1.83224522106
29.1708202817	-1.82557981703
29.1707072511	-1.82060899115
29.1722896786	-1.8182365467
